population,waste_kg,segregated_kg,complaints,collection_delay,previous_gvp,risk_score
20070,3538.88,2023.69,18,6.74,1,96.65
5770,3709.66,3182.3,26,0.45,1,44.38
13687,3981.74,1932.07,3,6.22,1,74.27
15917,4394.55,3302.06,39,3.01,0,65.35
29568,3827.44,2928.05,15,2.43,1,51.15
10364,4103.92,1657.1,0,1.38,0,31.11
11913,720.34,437.62,26,7.97,0,74.19
15213,1555.41,715.97,22,0.51,1,61.8
29816,3298.54,1490.8,25,6.62,1,100.0
26335,4361.56,2639.21,30,5.12,0,72.71
5867,520.25,264.9,19,5.88,1,73.42
10848,2815.83,2218.41,33,5.69,0,65.36
25541,3547.79,3012.72,14,6.87,0,61.27
6457,633.23,501.2,21,1.47,0,33.98
26391,2306.1,1144.56,6,0.01,1,27.38
12034,4530.36,2268.68,24,4.79,0,73.66
27941,3522.26,1726.26,10,2.83,0,44.07
12339,1569.46,665.88,27,0.99,1,62.49
15857,4337.52,3769.69,32,1.49,0,50.23
21547,2066.14,1180.03,34,2.65,1,74.74
8157,4340.05,2055.36,37,0.56,0,53.08
18925,1845.25,1505.11,4,0.46,0,15.27
17625,3156.44,1797.77,5,7.33,1,87.78
24597,2286.23,844.34,37,2.5,0,76.36
29902,1736.71,762.53,15,7.86,0,77.08
21607,4489.51,3149.78,1,7.71,0,59.09
15229,1344.17,1049.26,11,1.14,0,28.06
15159,881.65,410.86,33,5.72,0,71.77
15448,2038.67,1742.18,14,4.81,0,48.66
25350,3729.38,3050.81,3,5.53,1,56.61
13030,4133.44,3375.41,28,0.77,0,40.66
9174,4994.35,2373.38,7,1.51,0,34.2
13357,1833.63,692.74,14,0.61,0,38.98
5567,2335.74,1931.85,0,4.83,1,52.7
7653,1115.7,578.14,24,7.89,1,83.21
7251,3086.92,2131.22,17,5.38,1,76.14
24288,4989.11,3831.55,34,5.69,0,77.03
23058,3653.96,1536.72,13,7.88,1,96.29
22419,3178.46,2477.48,8,5.42,0,46.31
16546,2265.66,1962.47,6,0.32,1,39.66
22926,4618.84,3466.93,8,6.94,0,59.01
9031,2736.12,1621.63,18,2.92,0,49.39
27515,1104.65,919.26,3,0.03,1,32.25
17526,2144.2,1372.51,16,4.06,0,51.47
28451,802.25,609.41,34,7.5,0,75.35
8807,1408.91,1128.93,30,2.06,0,33.5
17433,579.51,441.67,25,3.93,1,67.46
22408,2539.76,1291.01,35,1.39,1,78.24
17390,3355.43,1391.88,31,0.46,1,67.58
16153,2044.82,983.73,26,0.64,1,66.56
9155,2391.72,1498.61,34,5.82,0,76.93
14525,4816.44,3024.25,4,6.91,0,64.04
10969,3883.83,2603.93,32,1.15,0,47.4
12537,2933.85,1664.39,11,2.31,0,40.84
22092,1780.43,1393.71,29,1.56,0,45.51
20757,4536.49,3866.15,36,0.21,0,50.06
20179,1557.94,756.69,19,4.43,0,49.9
14045,1964.04,1483.02,3,5.6,1,58.52
28992,4590.79,3318.61,14,5.18,0,58.25
7191,2882.94,1838.45,16,3.1,1,70.96
13564,3840.43,1742.37,37,4.44,0,79.15
7950,3158.35,2486.82,37,0.75,1,63.51
13473,3440.48,3021.92,22,1.23,1,55.47
29047,1847.22,1379.9,38,7.45,1,100.0
14156,1586.17,1355.9,17,6.09,0,52.95
27714,1951.22,1739.12,16,7.38,0,61.86
17376,1199.49,652.07,33,7.33,1,100.0
22492,4434.41,3108.63,26,5.2,1,92.83
16435,1774.61,1083.69,20,7.43,0,76.01
11646,3026.7,2701.77,18,3.33,1,59.0
24105,4063.88,1632.03,28,0.03,0,47.1
29229,4027.21,2322.92,30,0.5,0,49.26
11588,2472.74,2056.2,19,0.88,0,28.87
24468,2643.16,1338.04,1,0.76,1,41.5
11528,4976.16,3897.76,4,2.81,1,43.26
22922,3535.69,1981.86,5,5.61,0,58.56
24725,4165.87,3703.41,18,6.33,1,70.78
16234,4561.49,3813.14,24,4.72,1,72.89
23422,4044.15,2085.68,32,1.17,0,54.3
11806,1333.31,1031.45,9,5.98,1,77.09
6981,3029.77,1621.75,31,2.84,1,76.37
7409,958.52,655.15,26,0.1,1,49.1
16175,3438.15,2448.53,2,2.24,0,23.47
27565,4799.07,3869.38,14,2.64,1,64.05
8189,2807.29,1020.31,12,2.19,0,30.71
16394,2448.38,1153.4,35,6.49,0,80.52
22600,661.29,490.38,36,6.08,1,100.0
10059,4818.99,3180.23,32,5.56,1,95.38
23040,963.51,599.87,21,1.11,1,49.77
12648,684.86,260.5,19,6.46,1,89.71
25216,1607.3,870.44,12,5.42,1,74.29
19480,794.89,656.42,30,1.56,1,63.82
18672,2548.03,935.1,3,5.18,0,61.95
9419,2822.4,1603.23,10,3.87,1,66.0
16580,1906.56,1658.39,5,3.51,0,26.94
26415,729.32,275.67,19,0.9,0,45.36
5488,1002.2,764.02,11,4.15,1,55.35
23962,2230.27,1096.59,7,0.8,1,41.01
17319,772.38,638.47,15,1.31,0,17.9
22986,3641.85,2769.04,34,1.06,1,57.44
21582,1431.59,1198.44,22,7.63,1,81.62
15802,1859.32,871.57,32,2.28,0,53.24
12716,2273.57,1460.11,36,2.84,1,80.6
20682,2374.74,1848.97,36,2.58,0,49.59
8505,507.47,246.19,14,7.19,1,70.36
19602,1004.32,478.97,35,4.5,1,85.75
7367,4382.44,1599.37,36,7.35,1,100.0
21246,505.55,443.46,38,2.4,1,66.56
20718,2786.75,2063.62,14,0.92,1,53.82
7111,2702.76,1890.74,9,4.45,1,59.22
23937,1998.92,1517.58,23,2.76,0,49.53
15395,2440.97,1568.05,37,6.42,0,81.66
24672,4012.62,2455.21,36,7.04,0,86.54
6040,4285.42,2559.43,22,3.78,1,70.78
9486,1671.57,1173.84,5,7.77,1,75.55
17349,1951.21,899.2,16,4.42,0,53.03
9705,1591.17,1334.09,28,2.17,0,44.41
13246,2659.39,2118.1,22,3.91,1,66.9
21514,3574.66,1938.4,13,0.3,1,43.93
8613,1527.14,1020.49,13,6.43,0,63.52
21942,1988.31,850.13,2,0.81,1,45.56
7585,4686.73,4146.77,11,2.47,1,47.39
9379,718.56,608.33,26,4.52,1,72.32
19691,2573.46,2205.57,9,0.34,1,34.43
24837,3702.01,1972.02,39,0.63,1,69.97
9264,1177.04,521.46,3,5.57,1,69.57
12499,713.18,332.68,23,0.57,1,55.47
28128,1121.92,448.21,19,3.82,1,70.5
29742,4634.7,1928.32,33,2.71,0,58.64
19526,541.67,210.83,35,1.82,0,58.61
16175,1347.45,1205.16,21,1.51,0,34.56
13671,640.78,250.37,25,6.11,1,89.54
20311,997.83,421.98,27,7.61,0,97.08
19772,3290.67,2648.96,20,1.12,1,55.74
12368,1587.38,1062.16,7,7.68,0,66.56
5570,3061.45,2375.47,17,4.76,0,55.23
8787,3155.88,2199.65,9,5.13,0,57.84
28963,4322.46,3610.1,18,5.68,1,70.77
15453,521.34,365.54,24,5.63,0,49.26
17057,4340.16,2765.42,8,6.56,1,74.27
16677,3286.04,2438.28,9,3.87,1,61.19
24568,1232.35,734.56,32,4.27,1,84.38
6623,3978.22,2149.57,15,2.59,0,46.89
7068,4349.71,2641.18,7,0.84,1,51.67
11896,1644.19,728.94,28,5.32,1,92.7
17166,4634.57,3652.57,28,0.27,0,41.66
21778,2545.06,1255.7,33,2.21,0,54.87
17267,3215.41,1396.91,30,0.75,1,63.85
16029,4930.92,2393.93,39,1.53,1,89.93
28445,2126.91,1729.47,22,5.11,0,56.14
9025,4159.22,2211.08,11,5.03,0,52.65
19293,1932.8,1405.78,34,3.37,0,56.13
18556,4096.46,3363.3,10,0.72,1,37.19
16837,3203.3,1258.13,11,3.47,0,46.84
25189,1473.6,1135.8,33,2.82,0,47.16
11674,2363.12,1226.97,35,5.76,0,72.48
28844,1929.36,905.14,13,4.63,0,54.06
13289,851.49,620.65,29,3.93,0,53.75
18625,634.26,539.36,36,3.9,0,64.49
18016,2059.15,1054.82,31,7.73,1,100.0
26244,585.65,388.21,0,6.05,1,63.3
15972,1244.69,634.06,26,3.98,0,57.51
12113,3763.32,2464.44,6,3.83,0,40.0
5540,3686.41,2551.09,33,0.21,0,45.6
14091,3823.61,2621.79,2,7.54,1,78.1
25657,1927.19,1335.45,39,2.55,0,59.81
5247,4505.09,1911.48,7,2.05,0,44.73
27404,3172.24,2320.32,16,8.0,1,87.64
18570,1067.12,769.51,9,5.75,0,53.12
8506,1146.73,831.87,32,0.38,0,37.82
12554,3618.93,1414.06,15,0.5,0,29.06
18850,1278.25,761.53,29,0.2,0,41.97
12892,2782.82,1600.03,2,4.8,1,65.34
7714,4962.99,1973.74,18,0.57,1,63.26
21649,518.03,244.67,36,7.47,0,91.93
21806,574.61,340.47,37,7.5,0,85.58
7971,4968.88,3769.39,8,4.37,0,39.4
12030,3130.87,1504.02,15,4.93,1,80.11
11096,1071.09,863.69,16,2.34,0,36.26
21485,4537.86,2950.47,22,0.51,0,34.84
23257,4461.71,3427.63,21,5.9,1,86.31
23174,2912.9,1776.6,4,0.81,0,18.28
28469,3298.06,2059.83,30,0.68,0,42.41
24216,1729.34,1194.71,9,2.49,0,40.98
13016,727.34,625.79,12,0.1,1,38.61
7693,3175.55,1970.42,33,3.47,1,79.57
20366,1826.4,1170.29,27,5.66,1,87.48
27900,3486.29,2374.51,15,6.41,0,62.59
29378,4263.1,3221.34,36,4.83,1,74.86
10755,581.72,226.59,15,6.77,1,83.13
10911,3180.71,2015.39,22,3.25,0,51.6
5935,1540.76,947.38,9,6.79,0,56.76
8531,4432.5,3798.33,7,4.05,0,38.55
18871,1641.49,1020.07,19,1.78,1,63.56
18670,3248.47,1973.69,22,7.55,0,74.76
14273,2990.93,2629.66,32,2.2,0,42.23
12748,2282.75,1364.67,15,0.21,1,48.63
25744,3549.29,1595.36,35,1.94,0,60.61
16500,3765.96,1767.38,24,2.93,1,74.64
25206,3051.22,1227.67,2,2.81,0,36.78
29080,3912.9,1370.74,29,4.2,0,83.8
12928,4925.38,2894.0,22,7.07,1,82.75
10068,2386.73,1845.14,15,2.34,1,51.62
28822,2815.62,2121.31,18,4.17,0,49.31
20870,556.11,204.47,12,2.72,1,59.39
12272,4082.13,2708.45,24,6.57,1,94.43
20546,2841.04,1235.44,22,1.26,0,50.6
17876,2335.83,2026.54,17,0.83,1,43.92
27638,923.32,408.16,11,4.02,0,48.34
11399,4503.45,3128.33,15,5.38,1,74.17
29784,2277.53,1205.8,19,6.36,0,67.97
28401,3571.62,2510.34,18,4.72,0,54.24
9517,1172.18,676.05,12,6.19,1,75.78
9115,4826.97,3706.17,23,3.14,1,69.03
18328,1302.99,621.36,9,0.26,0,30.31
6122,1397.94,1185.71,20,0.93,1,40.91
12469,4365.42,2728.89,4,0.31,0,15.66
15877,4606.62,3527.99,18,2.63,1,51.56
29234,1454.66,1188.97,31,3.96,1,78.97
29809,2614.1,2351.01,32,2.85,1,69.36
8788,3800.73,1798.39,27,4.48,1,89.1
27291,4452.65,2261.01,29,3.84,1,77.32
7273,2205.74,1075.82,2,5.42,1,76.13
23715,2826.59,1397.97,13,5.34,1,73.99
26141,3837.72,2572.6,26,2.54,0,51.96
27269,3790.11,3397.6,32,2.77,1,73.2
10585,4023.32,3599.48,23,4.68,1,66.7
27336,3064.7,1960.57,34,4.77,0,67.98
7899,970.77,680.96,10,2.52,1,51.67
17971,4567.88,3759.29,6,2.64,1,62.1
16738,4395.08,3793.45,3,5.55,0,43.25
12898,4091.44,1890.75,23,5.18,0,77.45
5552,949.38,608.27,26,1.08,0,47.1
24300,1419.79,1147.27,11,3.53,1,56.32
13389,3846.2,1987.57,31,7.14,1,98.58
21541,604.13,357.58,29,0.29,1,63.84
15255,4906.51,4377.06,14,6.84,1,68.88
14341,2197.15,1959.37,9,1.31,0,28.73
27157,3736.91,3170.24,29,4.06,1,75.71
7361,4494.07,3546.48,26,3.39,0,39.64
23415,2275.83,1133.42,6,0.08,0,21.48
23669,1936.1,1019.29,10,7.32,0,68.69
14499,3239.34,2108.83,19,3.64,1,67.64
11561,3114.45,2050.64,20,7.63,0,76.92
5132,2341.13,1470.29,6,2.29,0,27.27
28420,3207.99,2246.13,37,6.93,0,77.09
28693,4709.22,2705.81,15,7.38,0,71.2
11024,2604.38,1984.66,15,4.45,1,65.9
5797,1385.34,739.01,2,1.62,1,42.36
8068,2197.43,1168.75,35,5.48,1,100.0
6691,2273.48,954.8,9,4.39,1,65.68
25777,1089.99,494.63,39,7.56,1,100.0
27297,1232.92,1008.27,19,3.51,1,61.47
8832,3580.53,2132.05,34,2.15,0,50.35
23668,2027.65,963.8,7,1.11,1,41.56
9481,4797.04,3682.39,6,5.59,1,65.97
14180,1596.19,1045.01,32,7.79,1,100.0
19984,945.16,341.8,32,0.23,0,53.04
22998,3890.77,2038.76,21,5.92,0,61.02
26864,4464.66,1997.27,1,7.42,1,65.18
6119,1751.51,1244.85,37,0.6,1,68.69
9910,1409.4,706.48,15,0.88,0,34.24
12012,1335.95,515.3,37,5.54,1,100.0
12758,2849.06,1083.25,34,5.18,0,76.15
29950,2607.87,1747.15,34,0.55,1,65.89
24435,1667.48,603.54,27,6.68,0,86.05
13010,703.28,574.46,26,4.19,0,50.39
29295,2666.71,1161.27,21,7.26,1,94.29
17482,4817.0,3292.95,0,7.02,1,71.07
17518,3436.34,2043.17,15,6.5,0,67.56
15842,2729.78,1620.31,29,4.13,0,63.65
8597,998.11,388.75,32,2.01,1,82.06
28359,1635.96,1294.89,22,4.05,0,47.64
5348,1826.48,1536.4,28,0.81,1,47.58
9356,3941.62,1403.45,0,5.27,1,80.13
10741,4445.2,1992.48,18,1.07,1,58.07
11982,4557.39,3860.78,20,4.09,0,46.79
8295,4930.56,3215.82,35,0.44,0,48.93
5449,4920.65,2128.29,12,2.4,1,64.26
21941,4788.5,2210.06,9,1.86,0,37.32
29232,823.2,586.94,14,4.96,1,67.23
8045,1120.07,838.54,6,6.29,0,48.48
12413,1870.1,1271.08,22,0.46,1,52.67
17658,2988.04,2612.24,25,6.8,0,54.89
28187,936.4,582.19,32,6.89,1,100.0
22356,4306.09,2218.28,38,2.74,1,85.37
24154,3275.4,2006.11,2,5.27,0,48.6
19527,2940.64,1610.93,9,3.22,0,35.43
15425,1243.9,588.9,12,1.23,0,32.27
9994,1639.65,615.33,9,4.23,0,48.38
26607,1221.4,664.1,33,0.69,0,55.76
25103,4333.7,3212.46,5,7.03,0,52.32
5627,3129.03,1126.89,1,7.39,1,85.68
22885,3808.08,2252.66,34,6.57,1,97.56
7109,1832.15,1290.21,38,4.5,0,67.39
23474,2170.64,1488.45,9,4.46,0,43.01
25648,2321.85,1804.44,13,7.88,0,70.45
8276,3920.07,3119.53,20,1.98,1,47.5
15845,3975.59,2947.65,21,0.61,0,27.4
8093,1430.66,581.62,39,4.5,0,69.32
19182,4736.92,2895.5,16,2.63,0,39.83
28189,1042.95,711.16,0,2.58,1,38.71
7021,4532.55,2198.56,16,0.06,0,26.62
14939,951.78,355.4,22,4.77,1,80.11
29328,1690.43,799.53,20,2.11,0,37.05
12523,4309.15,2586.32,20,1.5,0,37.48
8305,1307.71,755.42,36,0.32,0,54.16
17214,2361.06,1055.79,32,2.91,0,65.8
17709,2524.37,2028.15,10,7.03,1,75.03
21571,1603.67,1377.75,14,2.69,0,28.23
12843,3696.1,1702.95,26,5.43,0,65.47
28890,4331.01,3730.14,16,6.05,0,50.49
18025,4435.59,1596.03,17,2.62,1,71.16
12161,2026.95,1740.6,6,6.57,0,52.16
29007,2888.83,2523.57,10,5.54,1,68.64
28120,1617.83,576.96,29,4.47,1,92.78
17479,1601.58,1232.68,33,0.01,1,52.57
5621,1225.64,1082.99,31,0.28,1,52.28
19923,4730.09,4012.28,12,7.93,1,80.07
18879,4495.95,3973.93,5,6.26,0,45.89
8705,3998.11,2609.48,6,7.5,1,89.26
20849,2829.48,1111.94,15,7.22,1,83.43
26019,2707.74,2213.26,20,0.16,0,25.91
7647,2883.86,1982.96,35,6.33,0,84.66
23083,2914.56,2005.52,35,3.61,1,74.29
8508,2455.53,1422.96,0,6.32,1,64.59
23720,1092.9,726.24,28,0.05,1,52.01
15477,1065.49,462.92,11,2.31,0,39.5
5162,4785.12,3621.73,7,6.01,0,43.46
29155,2669.14,1044.33,22,6.34,1,96.6
9149,4789.42,3598.68,1,4.96,0,43.75
19901,1236.1,1009.81,13,2.41,1,52.23
9536,2994.87,1826.45,22,2.48,1,61.8
28325,1434.73,904.46,10,7.73,0,64.49
23458,1639.33,855.27,23,3.51,1,69.52
25109,635.25,561.05,18,3.58,0,38.35
15801,1035.29,779.8,31,4.42,0,71.41
16684,4625.82,2557.82,7,3.28,0,42.83
20857,1946.9,868.6,2,4.42,1,56.74
24619,3236.58,1523.68,21,3.46,1,75.94
26174,2592.56,1568.91,10,6.61,0,53.05
5445,2302.03,1999.11,28,7.27,1,83.45
21589,2893.49,2181.05,3,7.46,1,66.79
7728,1342.58,628.84,23,4.51,1,78.6
12198,4948.72,4071.6,39,3.54,1,87.51
25735,4182.39,2333.81,3,5.64,1,72.06
11262,3837.27,3140.6,12,6.71,1,77.59
24920,2609.42,1260.18,33,4.5,1,85.1
16575,1187.95,820.0,21,5.6,0,57.47
10816,4643.0,3991.44,6,6.0,0,48.6
13356,2036.24,1001.51,8,5.41,0,51.1
18269,725.48,530.41,30,5.97,1,85.23
24128,2040.82,1822.49,34,1.67,1,65.24
20150,4075.06,1763.8,14,3.99,1,71.87
28330,3302.19,1316.32,18,4.71,0,64.56
26693,3878.77,2795.85,31,0.02,0,48.23
23833,4071.36,2185.73,7,6.85,0,61.07
20077,1453.8,565.79,8,4.88,1,77.72
12246,4657.02,2847.39,30,1.03,0,51.79
15314,2470.95,1889.23,7,6.53,0,44.42
7972,3375.56,1710.79,30,5.74,1,89.21
14354,510.39,272.69,19,6.07,0,60.78
28161,4970.16,4051.35,39,3.14,1,76.59
15647,1764.03,1122.0,1,6.83,1,68.72
7843,779.28,633.95,37,3.31,0,60.96
21298,2562.18,1525.81,9,4.56,0,54.17
29065,1080.64,944.62,1,0.01,0,7.33
26687,1185.47,839.24,28,5.16,0,61.29
11851,3345.27,1384.09,21,5.75,0,61.02
16347,2268.17,1898.01,33,4.54,0,62.17
18275,4648.34,2877.77,4,3.97,0,41.65
11195,1936.2,828.5,3,6.48,1,76.35
11717,3767.81,1635.15,22,5.45,0,81.06
10916,2574.95,1874.93,35,2.22,1,78.67
29864,3469.78,1304.83,16,7.67,1,100.0
23650,3198.63,1623.71,31,5.66,0,72.18
26021,2627.53,1121.65,36,7.9,1,100.0
25414,4775.27,2829.79,34,7.77,0,89.86
28978,2042.21,1180.18,20,7.35,1,87.26
7631,1297.56,826.59,27,6.04,0,72.23
27040,3551.42,1789.21,21,4.88,1,83.94
6663,4307.03,1583.37,26,1.38,1,66.81
16885,681.14,468.57,22,4.35,1,77.74
19860,2523.35,1401.83,21,6.12,0,68.95
13946,4516.19,3198.52,17,4.17,1,60.84
8654,3873.28,1587.14,26,6.95,1,100.0
9807,4963.13,1774.71,30,0.88,1,75.47
25616,2891.36,1406.83,36,3.05,1,90.32
12968,3469.98,2085.81,24,4.05,0,57.61
12758,1861.16,1054.79,4,3.46,0,41.62
28084,4763.91,3790.48,23,0.87,1,55.31
8596,2148.51,1198.46,12,1.23,1,44.39
27881,3823.3,2453.57,1,6.7,1,63.25
28024,2314.13,1565.36,2,3.88,1,58.75
19963,3028.19,1096.23,23,0.39,1,68.99
9138,3739.02,2368.01,37,0.13,1,68.38
8896,2790.2,1505.75,20,3.79,0,62.91
12118,4581.89,2665.3,17,1.32,0,44.95
19435,2386.85,967.05,3,5.64,0,57.38
8840,3411.82,2663.1,27,6.36,1,82.73
16391,2040.63,1771.93,2,1.83,1,44.49
7887,2336.71,846.47,33,4.74,1,97.91
18507,2480.23,1688.43,32,1.24,0,45.72
5528,1066.13,821.04,39,2.43,1,71.08
22725,912.76,462.44,11,7.11,1,84.0
6384,3503.7,2743.95,6,4.35,1,48.99
9870,3449.83,2407.27,11,7.09,0,64.89
9366,3483.09,2999.08,31,1.8,0,40.69
25774,588.95,523.9,8,2.64,0,27.48
6334,1969.46,735.18,35,3.77,1,88.38
15731,1390.14,826.74,6,3.84,1,56.75
19778,4001.68,2604.47,1,7.98,1,73.49
17899,4372.84,1883.42,8,0.92,0,32.88
22017,1610.06,861.31,30,6.82,0,89.49
25077,3505.32,3130.97,24,6.91,1,91.24
14840,1082.13,388.41,14,4.43,0,59.03
25705,1738.19,1040.96,26,2.75,1,70.18
12949,1123.95,914.28,25,4.15,0,56.29
29610,1775.84,937.9,22,2.34,1,72.25
17613,3536.31,2170.91,20,6.39,1,82.13
23400,4596.47,4081.32,4,3.99,1,51.1
26875,1411.35,862.59,10,7.41,0,53.7
24816,2939.36,1240.43,21,4.98,1,90.19
26278,3656.26,1383.7,5,4.11,1,77.76
18412,4788.15,4165.59,19,5.69,1,75.48
6086,3245.27,1610.29,4,4.03,0,33.51
17327,1647.98,1033.67,31,7.24,1,100.0
9537,3314.65,1325.48,4,1.48,0,28.51
27227,1942.21,1132.33,3,7.79,0,56.66
